address,return_rio,A_bal,investments_num,payments_num,Pr,maxpay,D_ind,GASLIMIT,EXP,CALLDATALOAD,SLOAD,CALLER,LT,GAS,MOD,MSTORE,ponzi
0x1ce7986760ade2bf0f322f5ef39ce0de3bd0c82b,0.0,0.0,75,24,0.9333333333333333,4,-0.9149761089438977,0,0.5413766434648105,0.23201856148491878,2.7068832173240525,1.237432327919567,0.6187161639597835,0,0,4.098994586233565,1
0x109c4f2ccc82c4d77bde15f306707320294aea3f,0.0,0.0,204,3803,0.9705882352941176,706,1.2468621457071767,0,1.6096579476861168,0.2012072434607646,5.835010060362173,0.2012072434607646,1.408450704225352,0,0,1.408450704225352,1
0x4fb663c1616bfe80b5b6d5a214efa81d5a121801,0.0,0.0,78,666,1.0,68,-0.20558330592277213,0,1.9693654266958425,0.3282275711159737,3.2822757111597376,0.437636761487965,0.6564551422319475,0,0,2.4070021881838075,1
0xEA06c9cB0d69058468387F283e9A3f61c53e3C21,0.0,0.0,3,3,1.0,2,0.0,0,2.0418848167539267,0.418848167539267,2.670157068062827,0.4712041884816754,0.31413612565445026,0,0.05235602094240838,1.9371727748691099,1
0xa9fa83d31ff1cfd14b7f9d17f02e48dcfd9cb0cb,0.0,0.0,17,32,1.0,17,1.019049330730136,0,1.6545601291364003,0.20177562550443906,3.672316384180791,0.3228410008071025,0.645682001614205,0,0,1.29136400322841,1
0xda922e473796bc372d4a2cb95395ed17af8b309b,0.0,0.0,4,4,0.5,2,1.7320508075688774,0,2.359882005899705,0.33185840707964603,2.9129793510324484,0.3687315634218289,0.7374631268436578,0,0,4.129793510324483,1
0x6846b938f9be9f1eeeb9bfd853636c805f8f54d3,0.0,0.0,4,1,1.0,1,0,0,2.009744214372716,0.2740560292326431,2.9841656516443362,0.3654080389768575,0.7003654080389768,0,0,4.049939098660171,1
0xf77ac34cd0ed42f2b5d8cfcf4fa0f4bb1b80b9d8,0.0,0.0,2,0,0,0,0,0,2.0146520146520146,0.27472527472527475,2.93040293040293,0.3663003663003663,0.702075702075702,0,0,4.05982905982906,1
0x8e66ffe69b3f8d78f2a696e40c02f7454c0a01d9,0.0,0.0,1,0,0,0,0,0,2.0195838433292534,0.27539779681762544,2.9069767441860463,0.3671970624235006,0.7037943696450428,0,0,4.069767441860465,1
0xf184279e6d4654890b4410cf300ed55600f018be,0.0,0.0,1,0,0,0,0,0,1.876415399547072,0.3235198964736331,2.9440310579100615,0.3235198964736331,0.7764477515367195,0,0,4.238110643804594,1
0x0f170120733474c6ec7daf6ae6aeeeb8b645e92c,0.0,0.0,1,0,0,0,0,0,1.8635724331926864,0.35161744022503516,3.0239099859353025,0.2812939521800281,0.8438818565400844,0,0,4.219409282700422,1
